Dataset,Correlation,P-Value
7_r_Se,0.17506605222734253,0.05085012487290395
7_m_Mi,0.3186329460013671,0.005027653808711462
7_m_Lo,0.7151702786377708,9.525608841896508e-07
7_m_Se,0.26537053705370534,0.007622189688588077
7_m_Ca,0.825563909774436,7.39882427109212e-06
7_m_Br,0.91644908616188,3.2302091069599603e-10
7_m_Bo,-0.5583003952569171,0.005628901947789609
7_h_He,0.6848484848484848,0.02888279750673276
7_r_So,0.5053846153846154,0.009965259123424906
7_m_St,0.2070175438596491,0.3951161652286155
7_rab_Mu,0.7930434782608695,3.806559355289638e-06
94_m_We,0.6359397124823002,9.178154006146939e-21
94_m_Va,0.12895671224597718,0.3178332904088181
94_r_Fr,0.6055817238548594,2.299449617730501e-73
94_r_We,0.21194482273865484,0.0316158613743779
94_g_We,0.9748819116421229,1.5824461392935088e-39
94c_m_As,0.95,1.8346172668588278e-08
94_m_As,-0.049999999999999996,0.859540943467457
94_m_Rei,0.0303030303030303,0.9337729580941466
117_m_Ra,0.2579878859250728,2.354435001021458e-06
117_m_Ri,0.2525242780886231,0.0323504388600337
117_m_Vr,0.1736842105263158,0.4770171488822207
164_m_Ku,-0.4457049034149854,6.996445236427689e-24
