dataset_name,sequence_name,Thresold_ML_Voters,Thresold_Human_Voters,TP,TN,FP,FN,SUM,Precision,Accuracy,Prevalence,Sensitivity-Recall,Specificity,F1 Score,Informedness,Markedness,Diagnostic Odds Ratio,Phi Coefficient,Fowlkes-Mallows Index,Negative Predictive Value,Miss Rate,Fall-out,False Discovery Rate,False Omission Rate,Positive Likelihood Ratio,Negative Likelihood Ratio,Prevalence Threshold,Threat Score
7_m_Br,anat,1,3,1,21,2,0,24,0.333333333,0.916666667,0.041666667,1,0.913043478,0.5,0.913043478,0.333333333,11.5,0.551677284,0.577350269,1,0,0.086956522,0.666666667,0,11.5,0,0.125,0.5
7_m_Mi,anat,1,4,1,66,9,0,76,0.1,0.881578947,0.013157895,1,0.88,0.181818182,0.88,0.1,8.333333333,0.296647939,0.316227766,1,0,0.12,0.9,0,8.333333333,0,0.131578947,0.181818182
94_m_As,anat,1,1,1,10,4,0,15,0.2,0.733333333,0.066666667,1,0.714285714,0.333333333,0.714285714,0.2,3.5,0.377964473,0.447213595,1,0,0.285714286,0.8,0,3.5,0,0.333333333,0.333333333
94_r_We,diff,1,3,1,27,4,0,32,0.2,0.875,0.03125,1,0.870967742,0.333333333,0.870967742,0.2,7.75,0.417365006,0.447213595,1,0,0.129032258,0.8,0,7.75,0,0.15625,0.333333333
7_m_Bo,func,1,1,2,2,1,0,5,0.666666667,0.8,0.4,1,0.666666667,0.8,0.666666667,0.666666667,3,0.666666667,0.816496581,1,0,0.333333333,0.333333333,0,3,0,0.6,0.8
7_m_Bo,func,1,2,1,2,2,0,5,0.333333333,0.6,0.2,1,0.5,0.5,0.5,0.333333333,2,0.40824829,0.577350269,1,0,0.5,0.666666667,0,2,0,0.6,0.5
7_h_He,func,1,2,2,6,1,1,10,0.666666667,0.8,0.3,0.666666667,0.857142857,0.666666667,0.523809524,0.666666667,4.666666667,0.523809524,0.666666667,0.857142857,0.333333333,0.142857143,0.333333333,0.142857143,4.666666667,0.388888889,0.3,0.666666667
94_m_As,diff,1,2,2,9,2,1,14,0.5,0.785714286,0.214285714,0.666666667,0.818181818,0.571428571,0.484848485,0.5,3.666666667,0.440385506,0.577350269,0.9,0.333333333,0.181818182,0.5,0.1,3.666666667,0.407407407,0.285714286,0.571428571
7_rab_Mu,anat,1,2,2,18,2,2,24,0.5,0.833333333,0.166666667,0.5,0.9,0.5,0.4,0.5,5,0.4,0.5,0.9,0.5,0.1,0.5,0.1,5,0.555555556,0.166666667,0.5
7_h_He,anat,1,4,1,5,3,1,10,0.25,0.6,0.2,0.5,0.625,0.333333333,0.125,0.25,1.333333333,0.102062073,0.353553391,0.833333333,0.5,0.375,0.75,0.166666667,1.333333333,0.8,0.4,0.333333333
7_h_He,anat,1,3,1,5,3,1,10,0.25,0.6,0.2,0.5,0.625,0.333333333,0.125,0.25,1.333333333,0.102062073,0.353553391,0.833333333,0.5,0.375,0.75,0.166666667,1.333333333,0.8,0.4,0.333333333
94c_m_As,diff,1,3,1,11,3,1,16,0.25,0.75,0.125,0.5,0.785714286,0.333333333,0.285714286,0.25,2.333333333,0.21821789,0.353553391,0.916666667,0.5,0.214285714,0.75,0.083333333,2.333333333,0.636363636,0.25,0.333333333
94_m_As,diff,1,3,1,9,3,1,14,0.25,0.714285714,0.142857143,0.5,0.75,0.333333333,0.25,0.25,2,0.193649167,0.353553391,0.9,0.5,0.25,0.75,0.1,2,0.666666667,0.285714286,0.333333333
7_r_Se,anat,1,4,1,106,17,1,125,0.055555556,0.856,0.016,0.5,0.861788618,0.1,0.361788618,0.055555556,3.617647059,0.129298746,0.166666667,0.990654206,0.5,0.138211382,0.944444444,0.009345794,3.617647059,0.580188679,0.144,0.1
7_r_Se,anat,2,4,1,117,6,1,125,0.142857143,0.944,0.016,0.5,0.951219512,0.222222222,0.451219512,0.142857143,10.25,0.246243855,0.267261242,0.991525424,0.5,0.048780488,0.857142857,0.008474576,10.25,0.525641026,0.056,0.222222222
7_h_He,func,1,1,2,5,1,2,10,0.666666667,0.7,0.4,0.5,0.833333333,0.571428571,0.333333333,0.666666667,3,0.356348323,0.577350269,0.714285714,0.5,0.166666667,0.333333333,0.285714286,3,0.6,0.3,0.571428571
117_m_Vr,func,1,4,1,16,2,1,20,0.333333333,0.85,0.1,0.5,0.888888889,0.4,0.388888889,0.333333333,4.5,0.32673202,0.40824829,0.941176471,0.5,0.111111111,0.666666667,0.058823529,4.5,0.5625,0.15,0.4
94_r_Fr,diff,1,2,1,183,25,1,210,0.038461538,0.876190476,0.00952381,0.5,0.879807692,0.071428571,0.379807692,0.038461538,4.16,0.111999178,0.138675049,0.994565217,0.5,0.120192308,0.961538462,0.005434783,4.16,0.568306011,0.123809524,0.071428571
94_r_Fr,diff,2,2,1,195,13,1,210,0.071428571,0.933333333,0.00952381,0.5,0.9375,0.125,0.4375,0.071428571,8,0.170346286,0.188982237,0.994897959,0.5,0.0625,0.928571429,0.005102041,8,0.533333333,0.066666667,0.125
94_r_Fr,diff,3,2,1,203,5,1,210,0.166666667,0.971428571,0.00952381,0.5,0.975961538,0.25,0.475961538,0.166666667,20.8,0.277477528,0.288675135,0.995098039,0.5,0.024038462,0.833333333,0.004901961,20.8,0.512315271,0.028571429,0.25
94_r_Fr,diff,4,2,1,206,2,1,210,0.333333333,0.985714286,0.00952381,0.5,0.990384615,0.4,0.490384615,0.333333333,52,0.40136334,0.40824829,0.995169082,0.5,0.009615385,0.666666667,0.004830918,52,0.504854369,0.014285714,0.4
94_r_Fr,diff,5,2,1,208,0,1,210,1,0.995238095,0.00952381,0.5,1,0.666666667,0.5,1,inf,0.70541311,0.707106781,0.995215311,0.5,0,0,0.004784689,inf,0.5,0.004761905,0.666666667
7_rab_Mu,anat,1,1,4,15,0,5,24,1,0.791666667,0.375,0.444444444,1,0.615384615,0.444444444,1,inf,0.577350269,0.666666667,0.75,0.555555556,0,0,0.25,inf,0.555555556,0.166666667,0.615384615
7_m_Br,anat,1,2,2,18,1,3,24,0.666666667,0.833333333,0.208333333,0.4,0.947368421,0.5,0.347368421,0.666666667,7.6,0.426561704,0.516397779,0.857142857,0.6,0.052631579,0.333333333,0.142857143,7.6,0.633333333,0.125,0.5
7_m_Ca,anat,1,2,2,12,3,3,20,0.4,0.7,0.25,0.4,0.8,0.4,0.2,0.4,2,0.2,0.4,0.8,0.6,0.2,0.6,0.2,2,0.75,0.25,0.4
117_m_Vr,func,1,3,2,14,1,3,20,0.666666667,0.8,0.25,0.4,0.933333333,0.5,0.333333333,0.666666667,6,0.404226042,0.516397779,0.823529412,0.6,0.066666667,0.333333333,0.176470588,6,0.642857143,0.15,0.5
94c_m_As,func,1,2,2,9,2,3,16,0.5,0.6875,0.3125,0.4,0.818181818,0.444444444,0.218181818,0.5,2.2,0.233549683,0.447213595,0.75,0.6,0.181818182,0.5,0.25,2.2,0.733333333,0.25,0.444444444
94_m_As,diff,1,1,2,7,2,3,14,0.5,0.642857143,0.357142857,0.4,0.777777778,0.444444444,0.177777778,0.5,1.8,0.188561808,0.447213595,0.7,0.6,0.222222222,0.5,0.3,1.8,0.771428571,0.285714286,0.444444444
