Dataset;Sequence;Threshold AIDAqc Raters;Thresold Manual Raters;TP;TN;FP;FN;Total Count;Sensitivity;Specificity;Accuracy
7_m_Br;anat;1;3;1;21;2;0;24;1;0.913043478;0.916666667
7_m_Mi;anat;1;4;1;66;9;0;76;1;0.88;0.881578947
94_m_As;anat;1;1;1;10;4;0;15;1;0.714285714;0.733333333
94_r_We;diff;1;3;1;27;4;0;32;1;0.870967742;0.875
7_m_Bo;func;1;1;2;2;1;0;5;1;0.666666667;0.8
7_m_Bo;func;1;2;1;2;2;0;5;1;0.5;0.6
7_h_He;func;1;2;2;6;1;1;10;0.666666667;0.857142857;0.8
94_m_As;diff;1;2;2;9;2;1;14;0.666666667;0.818181818;0.785714286
7_rab_Mu;anat;1;2;2;18;2;2;24;0.5;0.9;0.833333333
7_h_He;anat;1;4;1;5;3;1;10;0.5;0.625;0.6
7_h_He;anat;1;3;1;5;3;1;10;0.5;0.625;0.6
94c_m_As;diff;1;3;1;11;3;1;16;0.5;0.785714286;0.75
94_m_As;diff;1;3;1;9;3;1;14;0.5;0.75;0.714285714
7_r_Se;anat;1;4;1;106;17;1;125;0.5;0.861788618;0.856
7_r_Se;anat;2;4;1;117;6;1;125;0.5;0.951219512;0.944
7_h_He;func;1;1;2;5;1;2;10;0.5;0.833333333;0.7
117_m_Vr;func;1;4;1;16;2;1;20;0.5;0.888888889;0.85
94_r_Fr;diff;1;2;1;183;25;1;210;0.5;0.879807692;0.876190476
94_r_Fr;diff;2;2;1;195;13;1;210;0.5;0.9375;0.933333333
94_r_Fr;diff;3;2;1;203;5;1;210;0.5;0.975961538;0.971428571
94_r_Fr;diff;4;2;1;206;2;1;210;0.5;0.990384615;0.985714286
94_r_Fr;diff;5;2;1;208;0;1;210;0.5;1;0.995238095
7_rab_Mu;anat;1;1;4;15;0;5;24;0.444444444;1;0.791666667
7_m_Br;anat;1;2;2;18;1;3;24;0.4;0.947368421;0.833333333
7_m_Ca;anat;1;2;2;12;3;3;20;0.4;0.8;0.7
117_m_Vr;func;1;3;2;14;1;3;20;0.4;0.933333333;0.8
94c_m_As;func;1;2;2;9;2;3;16;0.4;0.818181818;0.6875
94_m_As;diff;1;1;2;7;2;3;14;0.4;0.777777778;0.642857143
117_m_Vr;func;1;2;3;12;0;5;20;0.375;1;0.75
7_m_Ca;anat;1;1;3;10;2;5;20;0.375;0.833333333;0.65
7_r_Se;anat;1;2;3;102;15;5;125;0.375;0.871794872;0.84
