,Dataset,Thresold,Sequence,Kappa,F1_score
0,117c_m_Ri,1,anatomical,,
1,117c_m_Ri,1,structural,0.1616586538461539,0.35294117647058826
2,117c_m_Ri,1,functional,0.24075275794938333,0.8
3,117_m_Ra,1,anatomical,0.3777250077857366,0.1
4,117_m_Ra,1,structural,0.6327683615819212,0.18181818181818182
5,117_m_Ra,1,functional,0.29911955514365113,0.3870967741935483
6,117_m_Vr,1,anatomical,0.05000000000000301,0.0
7,117_m_Vr,1,structural,,
8,117_m_Vr,1,functional,0.3274485077763765,0.7142857142857143
9,164_m_Ku,1,anatomical,0.2827147360957629,0.4262295081967213
10,164_m_Ku,1,structural,0.4021942985746432,0.35294117647058826
11,164_m_Ku,1,functional,,
12,7_h_He,1,anatomical,0.6666666666666666,0.25
13,7_h_He,1,structural,,
14,7_h_He,1,functional,0.1815476190476196,0.36363636363636365
15,7_m_Bo,1,anatomical,-0.023462783171520524,0.16666666666666669
16,7_m_Bo,1,structural,0.3781213983864777,0.6666666666666666
17,7_m_Bo,1,functional,,
18,7_m_Br,1,anatomical,-0.05905006418485236,0.15384615384615385
19,7_m_Br,1,structural,-0.0647619047619051,0.20833333333333334
20,7_m_Br,1,functional,,
21,7_m_Ca,1,anatomical,,
22,7_m_Ca,1,structural,0.012345679012345146,0.5454545454545454
23,7_m_Ca,1,functional,,
24,7_m_Lo,1,anatomical,0.3274061343204649,0.25
25,7_m_Lo,1,structural,0.4762145748987855,0.375
26,7_m_Lo,1,functional,,
27,7_m_Mi,1,anatomical,0.3794174341400731,0.7741935483870968
28,7_m_Mi,1,structural,-0.038791981254881126,0.34782608695652173
29,7_m_Mi,1,functional,,
30,7_m_Se,1,anatomical,0.12498848669061445,0.6666666666666666
31,7_m_Se,1,structural,-0.0066723239987353964,0.6666666666666666
32,7_m_Se,1,functional,,
33,7_m_St,1,anatomical,0.5591666666666665,0.25
34,7_m_St,1,structural,,
35,7_m_St,1,functional,,
36,7_rab_Mu,1,anatomical,0.22077922077922046,0.30769230769230765
37,7_rab_Mu,1,structural,0.12946428571428464,0.5
38,7_rab_Mu,1,functional,,
39,7_r_Se,1,anatomical,0.49784196547144727,0.42424242424242425
40,7_r_Se,1,structural,0.21100224750667324,0.5641025641025641
41,7_r_Se,1,functional,,
42,7_r_So,1,anatomical,-0.008064516129019284,1.0
43,7_r_So,1,structural,,
44,7_r_So,1,functional,,
45,94c_m_As,1,anatomical,0.27927927927927826,0.3333333333333333
46,94c_m_As,1,structural,0.0028490028490027884,0.47619047619047616
47,94c_m_As,1,functional,-0.00628930817610062,0.9285714285714286
48,94_g_We,1,anatomical,0.20646234259919477,0.2
49,94_g_We,1,structural,,
50,94_g_We,1,functional,0.06388936388508924,0.6486486486486487
51,94_m_As,1,anatomical,0.22945205479452063,0.33333333333333337
52,94_m_As,1,structural,0.358333333333333,0.4444444444444445
53,94_m_As,1,functional,0.09317211948790864,0.8799999999999999
54,94_m_Rei,1,anatomical,-0.04166666666666695,0.2
55,94_m_Rei,1,structural,,
56,94_m_Rei,1,functional,,
57,94_m_Va,1,anatomical,0.16717356042173506,0.125
58,94_m_Va,1,structural,0.20041397809279443,0.233502538071066
59,94_m_Va,1,functional,,
60,94_m_We,1,anatomical,0.35481003997746235,0.4230769230769231
61,94_m_We,1,structural,-0.2237762237762244,0.4615384615384615
62,94_m_We,1,functional,-0.053610406606580764,0.8493150684931507
63,94_r_Fr,1,anatomical,0.27978956403350363,0.23004694835680753
64,94_r_Fr,1,structural,-0.1057981266854249,0.1616161616161616
65,94_r_Fr,1,functional,,
66,94_r_We,1,anatomical,-0.01052009456264832,0.43902439024390244
67,94_r_We,1,structural,-0.12973074750517824,0.11764705882352941
68,94_r_We,1,functional,0.11179775280898588,0.3684210526315789
69,117c_m_Ri,2,anatomical,,
70,117c_m_Ri,2,structural,0.1616586538461539,0.19999999999999998
71,117c_m_Ri,2,functional,0.24075275794938333,0.0
72,117_m_Ra,2,anatomical,0.3777250077857366,0.0
73,117_m_Ra,2,structural,0.6327683615819212,0.4
74,117_m_Ra,2,functional,0.29911955514365113,0.16666666666666666
75,117_m_Vr,2,anatomical,0.05000000000000301,0.0
76,117_m_Vr,2,structural,,
77,117_m_Vr,2,functional,0.3274485077763765,0.1818181818181818
78,164_m_Ku,2,anatomical,0.2827147360957629,0.1656050955414013
79,164_m_Ku,2,structural,0.4021942985746432,0.24
80,164_m_Ku,2,functional,,
81,7_h_He,2,anatomical,0.6666666666666666,0.0
82,7_h_He,2,structural,,
83,7_h_He,2,functional,0.1815476190476196,0.0
84,7_m_Bo,2,anatomical,-0.023462783171520524,0.0
85,7_m_Bo,2,structural,0.3781213983864777,0.25
86,7_m_Bo,2,functional,,
87,7_m_Br,2,anatomical,-0.05905006418485236,0.4
88,7_m_Br,2,structural,-0.0647619047619051,0.08333333333333333
89,7_m_Br,2,functional,,
90,7_m_Ca,2,anatomical,,
91,7_m_Ca,2,structural,0.012345679012345146,0.0
92,7_m_Ca,2,functional,,
93,7_m_Lo,2,anatomical,0.3274061343204649,0.18181818181818182
94,7_m_Lo,2,structural,0.4762145748987855,0.16666666666666669
95,7_m_Lo,2,functional,,
96,7_m_Mi,2,anatomical,0.3794174341400731,0.33333333333333337
97,7_m_Mi,2,structural,-0.038791981254881126,0.0
98,7_m_Mi,2,functional,,
99,7_m_Se,2,anatomical,0.12498848669061445,0.2857142857142857
100,7_m_Se,2,structural,-0.0066723239987353964,0.33333333333333337
101,7_m_Se,2,functional,,
102,7_m_St,2,anatomical,0.5591666666666665,0.15384615384615385
103,7_m_St,2,structural,,
104,7_m_St,2,functional,,
105,7_rab_Mu,2,anatomical,0.22077922077922046,0.2
106,7_rab_Mu,2,structural,0.12946428571428464,1.0
107,7_rab_Mu,2,functional,,
108,7_r_Se,2,anatomical,0.49784196547144727,0.21052631578947367
109,7_r_Se,2,structural,0.21100224750667324,0.0
110,7_r_Se,2,functional,,
111,7_r_So,2,anatomical,-0.008064516129019284,0.0
112,7_r_So,2,structural,,
113,7_r_So,2,functional,,
114,94c_m_As,2,anatomical,0.27927927927927826,0.6666666666666666
115,94c_m_As,2,structural,0.0028490028490027884,0.0
116,94c_m_As,2,functional,-0.00628930817610062,0.36363636363636365
117,94_g_We,2,anatomical,0.20646234259919477,0.28571428571428575
118,94_g_We,2,structural,,
119,94_g_We,2,functional,0.06388936388508924,0.15384615384615383
120,94_m_As,2,anatomical,0.22945205479452063,1.0
121,94_m_As,2,structural,0.358333333333333,1.0
122,94_m_As,2,functional,0.09317211948790864,0.26666666666666666
123,94_m_Rei,2,anatomical,-0.04166666666666695,0.5
