Path,validation_adam,validation_giovanna,validation_joanes,validation_pboehmsturm,validation_Susanne,dataset_name,SequenceType
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221115_092900_aRi008_1_1_1_1.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221115_092900_aRi008_1_1_1_2.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221115_121244_aRi016_1_1_1_3.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221115_121244_aRi016_1_1_1_4.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221116_125918_aRi002_1_1_1_5.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221116_125918_aRi002_1_1_1_6.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221116_125918_aRi002_1_1_1_7.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221116_125918_aRi002_1_1_1_8.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221117_094100_aRi005_1_1_1_10.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221117_094100_aRi005_1_1_1_11.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221117_094100_aRi005_1_1_1_12.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221117_094100_aRi005_1_1_1_13.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221117_094100_aRi005_1_1_1_14.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221117_094100_aRi005_1_1_1_9.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_093214_aRi007_1_1_1_15.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_093214_aRi007_1_1_1_16.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_093214_aRi007_1_1_1_17.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_093214_aRi007_1_1_1_18.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_120755_aRi010_1_1_1_19.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_120755_aRi010_1_1_1_20.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_120755_aRi010_1_1_1_21.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_120755_aRi010_1_1_1_22.png,FALSE,FALSE,FALSE,FALSE,FALSE,117c_m_Ri,anat
