Path,validation_adam,dataset_name,SequenceType,validation_giovanna,validation_joanes,validation_pboehmsturm,validation_Susanne
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221115_092900_aRi008_1_1_1_1.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221115_092900_aRi008_1_1_1_2.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221115_121244_aRi016_1_1_1_3.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221115_121244_aRi016_1_1_1_4.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221116_125918_aRi002_1_1_1_5.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221116_125918_aRi002_1_1_1_6.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221116_125918_aRi002_1_1_1_7.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221116_125918_aRi002_1_1_1_8.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221117_094100_aRi005_1_1_1_10.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221117_094100_aRi005_1_1_1_11.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221117_094100_aRi005_1_1_1_12.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221117_094100_aRi005_1_1_1_13.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221117_094100_aRi005_1_1_1_14.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221117_094100_aRi005_1_1_1_9.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_093214_aRi007_1_1_1_15.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_093214_aRi007_1_1_1_16.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_093214_aRi007_1_1_1_17.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_093214_aRi007_1_1_1_18.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_120755_aRi010_1_1_1_19.png,False,117c_m_Ri,anat,False,False,False,False
C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection\anat_20221118_120755_aRi010_1_1_1_20.png,False,117c_m_Ri,anat,False,False,False,False
