,FileAddress,SNR Chang,SNR Normal,Displacement factor (std of Mutual information),Goasting
314,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20121025104933_5.nii.gz,47.3636786,32.16485035,0.280192761,FALSE
315,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20121025104933_5a.nii.gz,47.3636786,32.16485035,0.280192761,FALSE
40,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20230112_123947_aRi030_1_1_1\7,43.85285659,31.73677902,0.094726201,FALSE
927,Z:\AG Aswendt\Projects\Backup\Publications\2023_Kalantari_AIDAqc\inputs\mri\Wenk_anon\Mouse\random_10\13,43.490554,24.16163674,0.148379032,FALSE
39,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20230111_143537_aRi025_1_1_1\7,42.97291708,31.69578629,0.088933273,FALSE
310,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20121002141202_5.nii.gz,42.77272853,31.18037947,0.23543264,FALSE
311,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Longo\Longo_dicom_EPI-diffusion-map_20121002141202_5a.nii.gz,42.77272853,31.18037947,0.23543264,FALSE
42,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20230220_125241_aRi043_1_1_1\7,42.37283807,33.58286768,0.089430004,FALSE
31,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221118_120755_aRi010_1_1_1\8,42.32309418,28.5592824,0.083233253,FALSE
36,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221122_120345_aRi020_1_1_1\9,42.23912686,32.98007034,0.07266397,FALSE
29,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221117_094100_aRi005_1_1_1\8,42.18341718,32.07106001,0.078728212,FALSE
33,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221118_155515_aRi014_1_1_1\8,42.02813542,31.25276262,0.079241015,FALSE
26,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221115_092900_aRi008_1_1_1\8,41.94566007,22.24621581,0.050935082,FALSE
34,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221121_093642_aRi018_1_1_1\8,41.87561934,30.00067746,0.081565642,FALSE
932,Z:\AG Aswendt\Projects\Backup\Publications\2023_Kalantari_AIDAqc\inputs\mri\Wenk_anon\Mouse\random_43\12,41.80354037,36.07995182,0.143599694,FALSE
38,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20230111_124903_aRi021_1_1_1\7,41.76081453,32.60780439,0.080181773,FALSE
935,Z:\AG Aswendt\Projects\Backup\Publications\2023_Kalantari_AIDAqc\inputs\mri\Wenk_anon\Mouse\random_8\8,41.55150271,38.50780603,0.148593092,FALSE
28,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221116_125918_aRi002_1_1_1\8,41.52865966,26.21864365,0.051260407,FALSE
32,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221118_134533_aRi004_1_1_1\8,41.29198916,12.84644991,0.045113077,FALSE
928,Z:\AG Aswendt\Projects\Backup\Publications\2023_Kalantari_AIDAqc\inputs\mri\Wenk_anon\Mouse\random_11\9,41.05616705,36.93194144,0.152691765,FALSE
35,C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221121_120051_aRi017_1_1_1\11,41.04302349,22.11630622,0.068373971,FALSE
