Pathes;corresponding_img;One_class_SVM;IsolationForest;LocalOutlierFactor; EllipticEnvelope;statistical_method;Voting outliers (from 5);dataset;corresponding_img_Path;SequenceType;Valdiation_MA
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221118_093214_aRi007_1_1_1\22;anat_20221118_093214_aRi007_1_1_1_16.png;FALSE;TRUE;FALSE;FALSE;FALSE;1;117c_m_Ri;C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221118_120755_aRi010_1_1_1\14;anat_20221118_120755_aRi010_1_1_1_20.png;TRUE;FALSE;FALSE;FALSE;FALSE;1;117c_m_Ri;C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221118_134533_aRi004_1_1_1\23;anat_20221118_134533_aRi004_1_1_1_25.png;TRUE;FALSE;FALSE;FALSE;FALSE;1;117c_m_Ri;C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221118_134533_aRi004_1_1_1\4;anat_20221118_134533_aRi004_1_1_1_28.png;FALSE;TRUE;TRUE;TRUE;FALSE;3;117c_m_Ri;C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection;anat;FALSE
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221118_155515_aRi014_1_1_1\28;anat_20221118_155515_aRi014_1_1_1_32.png;FALSE;TRUE;TRUE;TRUE;FALSE;3;117c_m_Ri;C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection;anat;FALSE
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20230111_124903_aRi021_1_1_1\12;anat_20230111_124903_aRi021_1_1_1_49.png;FALSE;TRUE;TRUE;FALSE;FALSE;2;117c_m_Ri;C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20230221_125550_aRi037_1_1_1\3;anat_20230221_125550_aRi037_1_1_1_71.png;TRUE;FALSE;FALSE;FALSE;FALSE;1;117c_m_Ri;C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection;anat;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221115_121244_aRi016_1_1_1\8;diff_20221115_121244_aRi016_1_1_1_2.png;FALSE;FALSE;FALSE;FALSE;TRUE;1;117c_m_Ri;C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection;diff;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221118_093214_aRi007_1_1_1\8;diff_20221118_093214_aRi007_1_1_1_5.png;FALSE;FALSE;TRUE;FALSE;FALSE;1;117c_m_Ri;C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection;diff;
C:\Users\aswen\Documents\Data\2023_Kalantari_AIDAqc\inputs\mri\Rivera-Olvera\20221118_134533_aRi004_1_1_1\8;diff_20221118_134533_aRi004_1_1_1_7.png;TRUE;TRUE;FALSE;TRUE;FALSE;3;117c_m_Ri;C:\Users\aswen\Desktop\Code\Validation3\117c_m_Ri\manual_slice_inspection;diff;
