SequenceType,Dataset,FleissKappa
anat,117c_m_Ri,
anat,117_m_Ra,0.38759841876573103
anat,117_m_Vr,0.05000000000000301
anat,164_m_Ku,0.13109146895966023
anat,7_h_He,0.6666666666666666
anat,7_m_Bo,-0.023462783171520524
anat,7_m_Br,-0.05905006418485236
anat,7_m_Ca,0.28525016244314466
anat,7_m_Lo,0.3274061343204649
anat,7_m_Mi,0.3794174341400731
anat,7_m_Se,0.12498848669061445
anat,7_m_St,0.5034090909090909
anat,7_rab_Mu,0.22077922077922046
anat,7_r_Se,0.4115616369570675
anat,7_r_So,0.06249999999999892
anat,94c_m_As,0.27927927927927826
anat,94_g_We,0.1524093548893425
anat,94_m_As,0.22945205479452063
anat,94_m_Rei,-0.04166666666666695
anat,94_m_Va,0.16717356042173506
anat,94_m_We,0.35481003997746235
anat,94_r_Fr,0.11620689915620486
anat,94_r_We,-0.01052009456264832
func,117c_m_Ri,0.24075275794938333
func,117_m_Ra,0.29911955514365113
func,117_m_Vr,0.3274485077763765
func,7_h_He,0.1815476190476196
func,7_m_Bo,0.05303030303030348
func,7_r_So,0.33933933933933896
func,94c_m_As,-0.00628930817610062
func,94_g_We,-0.17159971811134644
func,94_m_As,0.07340116279069747
func,94_m_We,-0.053610406606580764
func,94_r_We,0.11179775280898588
diff,117c_m_Ri,0.1616586538461539
diff,117_m_Ra,0.6327683615819212
diff,164_m_Ku,0.4021942985746432
diff,7_m_Bo,0.3781213983864777
diff,7_m_Br,-0.06059195830230833
diff,7_m_Ca,0.012345679012345146
diff,7_m_Lo,0.4600000000000001
diff,7_m_Mi,-0.038791981254881126
diff,7_m_Se,-0.0066723239987353964
diff,7_m_St,
diff,7_rab_Mu,0.12946428571428464
diff,7_r_Se,0.21100224750667324
diff,94c_m_As,0.0028490028490027884
diff,94_m_As,0.5333333333333331
diff,94_m_Va,0.20041397809279443
diff,94_m_We,-0.2237762237762244
diff,94_r_Fr,0.10491516966067868
diff,94_r_We,-0.12973074750517824
