SequenceType,Dataset,FleissKappa
anat,117_m_Ra,-0.13488319856244355
anat,117_m_Ri,-0.07789855072463789
anat,164_m_Ku,0.06687976395377437
anat,7_m_Bo,-0.2061403508771928
anat,7_m_Ca,-0.2500000000000007
anat,7_m_Mi,0.29166666666666646
anat,7_m_Se,-0.06951871657754037
anat,7_r_Se,-0.11111111111111102
anat,94c_m_As,-0.20000000000000018
anat,94_g_We,-0.18999999999999984
anat,94_m_As,-0.09126984126984113
anat,94_m_Rei,-0.19318181818181798
anat,94_m_We,-0.10885733603786339
anat,94_r_We,0.08333333333333341
func,117_m_Ra,0.003960857409133168
func,117_m_Ri,-0.19318181818181798
func,7_m_Bo,-0.2500000000000007
func,94c_m_As,-0.098901098901099
func,94_g_We,0.4791666666666667
func,94_m_As,-0.05000000000000007
func,94_m_We,0.15590008613264406
func,94_r_We,0.05582922824302157
diff,117_m_Ra,-0.1268939393939394
diff,117_m_Ri,-0.05000000000000007
diff,164_m_Ku,0.07340116279069747
diff,7_m_Bo,-0.07789855072463764
diff,7_m_Ca,-0.2061403508771928
diff,7_m_Mi,-0.09126984126984113
diff,7_m_Se,-0.15909090909090895
diff,7_r_Se,-0.18441831900333333
diff,94c_m_As,-0.07142857142857122
diff,94_m_As,-0.19047619047619035
diff,94_m_We,-0.05000000000000007
diff,94_r_We,-0.10294117647058865
